,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
387,bengkulu,100,ID,1603842667,79,-3.8,102.27,25.33,1.35
388,ahipara,52,NZ,1603842923,61,-35.17,173.17,20.94,1.57
389,smithers,75,CA,1603842923,87,54.78,-127.17,6.0,2.1
390,gimli,100,CA,1603842923,98,50.63,-96.99,0.56,1.79
391,bom jesus,11,ML,1603842923,16,14.95,-2.93,26.55,2.19
392,bosaso,4,SO,1603842924,64,11.28,49.18,21.69,0.64
393,chateaubelair,75,VC,1603842924,88,13.28,-61.25,27.0,4.1
394,nemuro,75,JP,1603842924,76,43.32,145.57,10.0,1.0
395,fare,76,PF,1603842783,81,-16.7,-151.02,26.9,8.48
396,salalah,20,OM,1603842924,69,17.02,54.09,25.0,1.0
397,cabra,0,ES,1603842924,87,37.47,-4.44,10.0,1.21
398,connersville,100,US,1603842726,92,39.64,-85.14,8.33,1.85
399,yatou,62,CN,1603842925,44,37.15,122.38,14.06,4.15
400,imbituba,20,BR,1603842925,88,-28.24,-48.67,20.0,2.6
401,woodland,1,US,1603842647,19,38.68,-121.77,25.0,2.6
402,omboue,100,GA,1603842925,86,-1.57,9.26,24.94,1.6
403,fukue,75,JP,1603842925,82,32.69,128.84,18.0,1.5
404,dodge city,1,US,1603842925,95,43.42,-88.7,1.0,1.5
405,okato,100,NZ,1603842925,94,-39.2,173.88,14.44,2.68
406,qazvin,0,IR,1603842926,65,36.28,50.0,8.0,2.52
407,lock haven,90,US,1603842926,100,40.27,-82.61,7.78,2.1
408,abay,90,KZ,1603842926,92,49.63,72.85,-3.0,7.0
409,taoudenni,2,ML,1603842926,16,22.68,-3.98,27.84,3.26
410,karasjok,100,NO,1603842927,93,69.47,25.51,0.0,6.7
411,presidente medici,91,BR,1603842927,83,-29.95,-50.11,17.82,3.63
412,taitung,75,TW,1603842927,73,22.76,121.14,24.0,2.6
413,sangmelima,52,CM,1603842927,96,2.93,11.98,19.85,0.46
414,lingao,100,CN,1603842927,83,19.91,109.69,24.74,10.93
415,bathsheba,20,BB,1603842928,83,13.22,-59.52,27.0,6.7
416,seymchan,26,RU,1603842928,92,62.88,152.43,-10.19,1.18
417,kankon,36,IN,1603842928,74,15.02,74.02,24.42,2.27
418,gat,56,IL,1603842928,100,31.61,34.76,24.44,1.99
419,toora-khem,13,RU,1603842928,93,52.47,96.11,-3.44,1.03
420,xichang,89,CN,1603842928,77,27.9,102.26,16.43,0.36
421,kathmandu,20,NP,1603842924,100,27.72,85.32,13.0,1.0
422,tartagal,0,AR,1603842630,39,-22.52,-63.8,24.98,2.52
423,hays,95,US,1603842929,96,30.05,-98.03,5.0,3.58
424,djibo,82,BF,1603842929,14,14.1,-1.63,27.9,3.09
425,yekaterinoslavka,41,RU,1603842929,90,50.37,129.11,0.63,2.49
426,ruteng,100,ID,1603842930,89,-8.61,120.47,21.47,0.87
427,boa vista,86,CM,1603842930,88,4.43,8.97,24.67,0.28
428,gabu,43,GW,1603842930,46,12.28,-14.22,23.31,0.31
429,guerrero negro,100,MX,1603842930,81,17.67,-100.0,21.66,0.54
430,payo,99,ID,1603842930,87,-3.75,103.64,23.46,0.59
431,sarrebourg,90,FR,1603842931,71,48.73,7.05,11.0,4.6
432,yuanli,20,TW,1603842931,78,24.44,120.65,24.44,1.0
433,ereymentau,49,KZ,1603842931,97,51.62,73.1,-2.88,8.66
434,smolensk,23,RU,1603842931,82,55.0,33.0,6.58,3.21
435,surgut,0,RU,1603842873,92,61.25,73.42,-12.0,4.0
436,tulsipur,0,NP,1603842931,52,28.13,82.3,16.5,2.17
437,beyla,47,GN,1603842931,73,8.68,-8.63,20.44,0.65
438,svetlogorsk,6,BY,1603842751,85,52.63,29.73,7.54,3.19
439,huangchuan,100,CN,1603842932,57,32.13,115.04,15.82,4.51
440,khor,98,RU,1603842932,78,47.89,134.95,4.45,2.69
441,brae,19,GB,1603842932,81,60.4,-1.35,9.0,5.7
442,ganzhou,16,CN,1603842932,77,28.82,115.43,18.61,3.82
443,wajir,87,KE,1603842932,67,1.75,40.06,25.8,6.79
444,rovaniemi,90,FI,1603842933,100,66.5,25.72,3.0,2.6
445,tecoanapa,62,MX,1603842933,83,16.52,-98.75,27.65,3.69
446,rockingham,100,US,1603842933,65,42.97,-71.1,8.33,2.76
447,khandagayty,14,RU,1603842933,86,50.73,92.05,-4.07,1.48
448,outlook,100,CA,1603842795,74,51.5,-107.05,7.59,5.18
449,kahului,40,US,1603842781,62,20.89,-156.47,30.0,4.1
450,xining,37,CN,1603842934,94,36.62,101.77,-1.23,0.57
451,bakchar,100,RU,1603842934,95,57.02,82.07,1.48,3.19
452,novosheshminsk,98,RU,1603842934,91,55.07,51.23,-0.22,2.19
453,jamame,81,SO,1603842934,86,0.07,42.75,25.3,3.1
454,macomer,20,IT,1603842934,87,40.26,8.77,13.0,1.5
455,haimen,0,CN,1603842934,94,23.19,116.61,20.0,9.26
456,coquimbo,0,CL,1603842860,82,-29.95,-71.34,13.0,5.1
457,sinnamary,20,GF,1603842935,80,5.38,-52.95,26.88,4.67
458,babati,53,TZ,1603842935,89,-4.22,35.75,16.83,1.12
459,olafsvik,96,IS,1603842767,71,64.89,-23.71,3.95,8.04
460,dickson,90,US,1603842825,93,36.08,-87.39,16.67,3.06
461,dodola,21,ET,1603842935,76,6.98,39.18,8.74,1.06
462,romitan,0,UZ,1603842936,51,39.93,64.38,4.0,5.1
463,vinukonda,83,IN,1603842936,78,16.05,79.75,22.0,1.8
464,chiredzi,0,ZW,1603842936,54,-21.05,31.67,21.45,2.3
465,hofn,100,IS,1603842936,81,64.25,-15.21,3.48,9.52
466,mwinilunga,63,ZM,1603842936,76,-11.74,24.43,18.68,0.67
467,mecca,0,SA,1603842937,63,21.43,39.83,22.74,0.56
468,nadym,0,RU,1603842937,90,65.53,72.52,-17.05,2.77
469,boshnyakovo,38,RU,1603842937,69,49.63,142.17,5.25,1.79
470,mantua,0,IT,1603842937,93,45.17,10.78,8.33,2.1
471,metro,99,ID,1603842937,82,-5.11,105.31,25.29,2.79
472,sarakhs,0,IR,1603842937,57,36.54,61.16,10.0,1.0
473,suileng,0,CN,1603842938,85,47.25,127.08,0.38,3.56
474,annau,0,TM,1603842938,61,37.89,58.52,9.0,2.1
475,sobolevo,11,RU,1603842748,85,54.43,31.9,6.38,4.31
476,esna,0,EG,1603842938,57,25.29,32.55,25.0,4.15
477,roald,88,NO,1603842739,75,62.58,6.13,8.0,3.6
478,yar-sale,50,RU,1603842938,92,66.83,70.83,-16.6,2.45
479,pangnirtung,0,CA,1603842727,76,66.15,-65.71,-12.82,1.83
480,casper,1,US,1603842872,44,42.87,-106.31,4.0,9.8
481,teya,100,RU,1603842939,95,60.38,92.63,-3.62,4.73
482,xinye,98,CN,1603842939,48,32.52,112.35,15.37,2.28
483,shimoda,40,JP,1603842939,72,34.67,138.95,18.0,4.1
484,manbij,0,SY,1603842939,36,36.53,37.95,16.0,0.5
485,bonavista,100,CA,1603842939,83,48.65,-53.11,3.33,1.34
486,birobidzhan,99,RU,1603842940,86,48.8,132.95,3.75,0.59
487,khorixas,57,NA,1603842940,20,-20.37,14.97,23.87,5.08
488,panama city,40,PA,1603842940,79,9.0,-80.0,29.0,2.1
489,smolenka,37,RU,1603842940,85,52.14,113.5,-8.0,0.58
490,herat,0,AF,1603842940,49,34.5,62.0,7.84,4.94
491,newport,1,GB,1603842648,94,51.59,-3.0,8.33,0.45
492,petropavlovsk-kamchatskiy,84,RU,1603842941,75,53.05,158.65,6.0,2.0
493,camacha,75,PT,1603842941,68,33.08,-16.33,19.0,3.47
494,sorong,100,ID,1603842941,79,-0.88,131.25,27.51,3.04
495,tuburan,75,PH,1603842941,74,6.64,122.27,28.0,2.6
496,kuito,80,AO,1603842941,75,-12.38,16.93,18.09,1.32
497,barcelos,75,PT,1603842941,100,41.54,-8.62,15.0,1.0
498,araouane,0,ML,1603842942,14,18.9,-3.53,29.18,1.36
499,birjand,0,IR,1603842942,23,32.87,59.22,4.0,3.1
500,nuuk,0,GL,1603842942,79,64.18,-51.72,-4.44,2.68
501,hope,90,US,1603842942,87,33.67,-93.59,12.78,2.1
502,salvador,20,SV,1603842872,100,13.83,-88.92,27.0,3.6
503,masty,53,BY,1603842942,87,53.41,24.54,11.45,5.29
504,manavgat,40,TR,1603842942,68,36.79,31.44,20.0,1.5
505,pishva,0,IR,1603842943,42,35.31,51.73,17.0,0.74
506,halifax,70,CA,1603842833,90,44.65,-63.57,4.44,0.89
507,makurdi,0,NG,1603842943,79,7.74,8.51,24.72,1.39
508,hauterive,0,FR,1603842943,71,46.09,3.45,12.0,5.7
509,ugoofaaru,9,MV,1603842943,75,5.67,73.0,27.97,3.29
510,alihe,4,CN,1603842944,87,50.57,123.72,-3.05,5.02
511,palana,68,RU,1603842944,84,59.12,159.97,1.73,2.7
512,gigmoto,33,PH,1603842944,75,13.78,124.39,28.58,0.21
513,farafangana,3,MG,1603842944,88,-22.82,47.83,21.43,1.2
514,ilhabela,47,BR,1603842676,87,-23.78,-45.36,22.65,3.33
515,saku,75,JP,1603842944,87,36.22,138.48,12.78,0.5
516,sovetskaya,49,RU,1603842945,81,44.78,41.17,10.88,7.55
517,beloha,18,MG,1603842945,85,-25.17,45.05,21.09,6.14
518,touros,40,BR,1603842730,83,-5.2,-35.46,26.0,4.1
519,lodhikheda,20,IN,1603842945,82,21.58,78.83,19.0,1.08
520,whitehorse,75,CA,1603842945,87,60.72,-135.05,0.0,1.0
521,ocampo,62,MX,1603842946,42,21.65,-101.5,19.27,3.9
522,jorochito,18,BO,1603842946,56,-18.05,-63.43,24.16,2.11
523,scarborough,30,GB,1603842946,85,54.28,-0.4,7.22,2.68
524,chegdomyn,98,RU,1603842946,90,51.12,133.02,1.61,0.76
525,kisoro,97,UG,1603842946,91,-1.29,29.68,14.64,1.1
526,senekal,20,ZA,1603842946,43,-28.32,27.62,18.68,2.21
527,carutapera,74,BR,1603842947,83,-1.2,-46.02,25.63,2.99
528,nago,20,JP,1603842833,61,26.59,127.98,26.0,4.6
529,sturgis,90,US,1603842947,93,41.8,-85.42,4.44,1.77
530,mangan,0,IN,1603842947,27,27.52,88.53,17.5,2.64
531,igarka,0,RU,1603842947,87,67.47,86.58,-18.36,3.76
532,tura,0,IN,1603842727,88,25.52,90.22,19.79,1.85
533,bandiagara,9,ML,1603842948,15,14.35,-3.61,27.27,4.23
534,hovd,49,MN,1603842948,76,48.01,91.64,-1.45,0.73
535,pascagoula,90,US,1603842948,83,30.37,-88.56,27.0,3.1
536,termiz,98,UZ,1603842948,34,37.22,67.28,12.0,5.1
537,asfi,0,MA,1603842948,70,32.3,-9.24,16.7,7.7
538,arman,0,RU,1603842948,76,59.7,150.17,0.42,2.05
539,warrensburg,90,US,1603842684,99,38.76,-93.74,0.56,1.18
540,liverpool,40,GB,1603842695,87,53.41,-2.98,9.44,5.7
541,puerto escondido,0,ES,1603842949,82,36.59,-6.23,15.0,1.5
542,ikare,41,NG,1603842949,89,7.49,5.23,22.75,1.02
543,cabedelo,20,BR,1603842949,78,-6.98,-34.83,26.0,4.1
544,prieska,45,ZA,1603842949,21,-29.66,22.75,22.41,2.34
